X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
123,SN,10.2,,0.88,80,2.3,18 G,714289.0,4937547.0
123,Pradera,10.1,,1.07,110,2.6,18 G,714252.0,4937484.0
123,Bosque,6.2,,1.04,45,2.4,18 G,714497.9,4937729.4
125,Bosque,8.2,0.9,0.94,90,2.5,18 G,717679.0,4940008.0
125,Pradera,8.7,0.8,1.06,95,2.5,18 G,717273.0,4940722.0
126,Bosque,4.5,,0.99,95,2.5,18 G,722493.0,4943560.0
126,Pradera,10.3,,1.10,95,2.7,18 G,722513.0,4943533.0
127,SN,10.4,0.7,0.95,110,2.2,18 G,720568.0,4947796.0
127,Pradera,5.5,0.8,1.03,110,2.5,18 G,720677.0,4947819.0
128,Pradera,9.1,,1.02,100,2.4,18 G,717914.0,4947020.0
129,Pradera,9.1,0.8,1.10,110,2.6,18 G,724311.0,4951844.0
130,Pradera,8.2,0.9,0.82,110,2.8,18 G,727697.0,4952473.0
131,Pradera,5.4,,0.97,95,2.7,19 G,270046.0,4950616.0
131,Bosque,7.2,,0.09,93,2.4,19 G,270059.1,4950692.9
132,Bosque,7.6,,0.73,110,2.4,18 G,732819.0,4950212.0
132,Cultivo,7.3,,0.95,110,2.6,18 G,732875.6,4950434.7
133,Bosque,1.9,1.2,1.39,110,2.7,19 G,281051.0,4955443.0
133,Pradera,7.2,0.8,1.15,110,2.4,19 G,281535.1,4955344.5
134,Plantación,1.9,0.9,1.14,58,2.4,19G,289843.0,4958356.0
134,Plantación,3.1,1.0,1.26,65,2.0,19G,289051.0,4958057.0
135,SN,2.2,1.1,1.43,84,2.6,19G,295843.0,4961050.0
135,SN,41.0,0.1,0.83,110,2.4,19G,295876.0,4960886.0
137,Matorral,7.4,0.8,1.01,94,2.5,19G,301167.0,4974490.0
137,SN,4.2,0.7,1.21,110,3.0,19G,301159.0,4974435.0
138,Cultivo,1.8,1.2,1.08,37,3.0,19G,294732.0,4981216.0
140,Matorral,5.4,0.8,1.28,59,2.8,19G,283798.0,4988375.0
140,Pradera,2.7,1.2,1.60,110,3.0,19G,283753.0,4988352.0
141,Matorral,11.1,0.5,0.96,110,2.6,19G,280361.0,4992595.0
144,SN,26.1,0.2,0.61,90,2.6,19 G,278299.0,4976117.0
144,Pradera,5.3,0.9,1.06,87,2.6,19 G,278344.7,4975945.1
145,Bosque,9.1,0.7,0.85,110,2.4,19 G,268712.0,4971445.0
145,Pradera,11.3,0.6,0.40,96,2.5,19 G,268108.0,4971558.0
146,Bosque,6.4,0.6,0.84,110,2.3,19 G,279501.0,4950844.0
146,Pradera,4.6,0.8,0.94,110,2.4,19 G,279660.0,4950823.0
147,Pradera,10.1,0.7,0.69,100,2.7,19 G,273236.0,4940579.0
147,Plantación,2.9,0.6,0.99,110,2.5,19 G,273343.0,4940694.0
148,Bosque,4.1,,0.96,110,2.5,19 G,274763.4,4933899.1
148,Pradera,8.8,,0.78,110,2.6,19 G,274798.0,4934897.0
149,Pradera,4.3,0.8,0.86,110,2.5,19 G,279511.0,4939628.0
149,Bosque,9.0,0.8,0.98,110,2.2,19 G,279924.7,4940152.4
150,Pradera,6.4,,0.99,93,2.6,18 G,731948.1,4937267.7
150,Bosque ,6.6,,1.05,100,2.3,18 G,731969.9,4937246.9
151,SN,8.4,0.3,1.00,95,2.3,18 G,720591.6,4934969.0
151,Pradera,8.1,0.8,1.10,94,2.7,18 G,720594.0,4935334.0
152,Pradera,5.7,,0.95,98,2.5,18 G,728014.3,4934145.1
153,SN,23.6,0.2,0.89,100,2.3,19 G,267674.6,4929678.1
153,Pradera,11.9,0.7,0.87,100,2.6,19 G,268010.8,4929720.0
154,Bosque,8.7,0.9,0.72,110,2.3,19 G,273507.0,4928084.0
